"tmp_study_case_id";"bme_name";"description"
"16";"Membership/Subscription Fees";"Bike Santiago offers three membership options, and two pass levels, the orange and black.  An Orange pass costs $9 for a month, $49 for six months, and $97 for a year. Orange pass holders can ride first thirty minutes free-of-charge, but are charged $0.75 for the first 30 minutes after that, $1.5 for the following 30 minutes, and $3 for every additional half hour. Black pass holders have to pay almost double in membership fees, but get first 90 minutes of the ride free-of-charge. Tourists can purchase a 24-hour pass for $15 or a three day pass for $22 with ride times and charges similar to orange card holders. Itau bank members get discounted membership rates. The user charges and membership fees pays for the maintenance of bikes."
"16";"User Charges";"Bike Santiago offers three membership options, and two pass levels, the orange and black.  An Orange pass costs $9 for a month, $49 for six months, and $97 for a year. Orange pass holders can ride first thirty minutes free-of-charge, but are charged $0.75 for the first 30 minutes after that, $1.5 for the following 30 minutes, and $3 for every additional half hour. Black pass holders have to pay almost double in membership fees, but get first 90 minutes of the ride free-of-charge. Tourists can purchase a 24-hour pass for $15 or a three day pass for $22 with ride times and charges similar to orange card holders. Itau bank members get discounted membership rates. The user charges and membership fees pays for the maintenance of bikes."
"16";"Exclusive Private Sponsorship";"Itau Bank is the system’s core sponsor, and has entirely paid for the capital expenses of the system."
"17";"Sidewalks/Plazas";
"17";"On-street Parking Space";
"17";"Dedicated Bicycle Lanes";
"17";"Bicycles";"3rd Generation bicycle sharing system comprising of 200 bicycles across 17 stations. The bicycles do not have chains, (are more durable than bikes with chains), non-rusting bodies, and a LED headlight."
"17";"Road Safety";"The city has 120.7 km of dedicated bicycle lanes, some of which have been funded by Bradesco Seguro."
"17";"Bicycle Culture";"The system is implemented in partnership with Conviva, a Bradesco Seguro-led initiative to promote bicycling in the city. It organizes several events and initiatives such as the World Bike Tour, to increase awareness about the benefits of bicycling."
"17";"Affordability";"Users can register for free and take unlimited 30-minute rides."
"17";"Operating Concession";"The city has signed a concession contract with Peg Bike, to implement and operate the system."
"17";"Sponsorship Agreement";"Sponsorship Agreement with Bradesco Seguro."
"17";"Public-Private Partnership";"Implemented and operated by Peg bikes in collaboration with the city government."
"17";"User Charges";"As of 2016, users can register online or at kiosks without charge by providing their credit card details for security, following which they can take unlimited 30-minute rides. Every additional 30-minutes is charged $1.6. Bicycles returned after 10 pm incur a charge of $64."
"17";"Fines for misuse of service/asset";"If the bicycle is not returned within 24-hours, the user is fined $439."
"17";"Exclusive Private Sponsorship";"Bradesco Seguro is the exclusive sponsor for the system."
"18";"Sidewalks/Plazas";
"18";"Dedicated Bicycle Lanes";"Since 2010, 135 km of dedicated bike lanes have been added in the city, with an ultimate goal of reaching 200 km."
"18";"Bicycles";"4th Generation bike-share system comprising of 3,000 bikes across 200 fully automated stations (as of 2015)."
"18";"Road Safety";"EcoBici has been complemented by significant investment in biking infrastructure in the city such as protected bike lanes, and installation of bike racks. In 2015, Buenos Aires was ranked 14th among 20 most bicycle-friendly cities in the world by the Copenhagenize Index."
"18";"Ease of Access";"People can register to use the service, and upload identification documents either online, or through the EcoBici cell phone application or QR code found on bike stations. Bicycles can be checked out using a smart card, through the EcoBici cell phone application, or by calling EcoBici from the cell phone."
"18";"Bicycle Culture";"In 2010, under Mejor en Bici, the city passed a law that requires parking garages to accept bicycles and puts a cap on the amount they can charge per hour (10% of car parking fees). Other initiatives include monthly bike rides for the whole family which draw over 5,000 participants, bike education programs, and a bike-to-work program . System users qualify for discounts in participating shops, bars, and restaurants. They also receive coupons to purchase their own bicycles and accessories, and get their bikes repaired at promotional prices."
"18";"Affordability";"The bike-share program is free-of-charge. Users can check out bikes for a ride duration of 1 hour during weekdays and two hours during weekends. Users have to wait for at least 5 minutes before returning and checking out a bike to start another ride. Membership is suspended for one week if users fail to return bikes within the assigned time limit for the first time, one month the second time, two months the third time, and cancelled after a subsequent offence."
"18";"Public";"Publicly owned and managed: The bike-share system is publicly owned and implemented by the Government of Buenos Aires."
"18";"Bicycle Plan";"Mejor en Bici (Better by Bike): This is plan developed by the city of Buenos Aires in collaboration with ITDP, C40, and the Clinton Climate Initiative. Launched in 2011, it promotes bicycling in the city by developing bicycle infrastructure."
"18";"City Budget";"The system is fully funded by the government of Buenos Aires."
"19";"Sidewalks/Plazas";
"19";"On-street Parking Space";"More than 90% of the stations have been installed on On-street Parking Spaces."
"19";"Space between landscaped areas and adjacent to other infrastructure";
"19";"Dedicated Bicycle Lanes";"The city has built about 170 km of dedicated bike lanes in some neighborhoods."
"19";"Maintenance and Storage Facilities";"Mexico City Bicycle Hub: To make the system accessible for people residing outside the city boundaries who travel to the city to work, SEDEMA has constructed a 24-hour, 400-space bicycle parking facility near the airport in the east, called the ‘Mexico City Bicycle Hub’, and another in the north in La Raza called ‘Pantitlan Massive Bicycle Hub ‘ . SEDEMA has also built single bike parks on the street."
"19";"Bicycles";"3rd Generation system comprising of 6,500 bikes and 452 docking stations."
"19";"Road Safety";"Mexico City committed to construct 300 km of dedicated bike paths under the ‘Construction of non-motorized mobility corridors action’, which was one of the transportation interventions specified in the Climate Action Program. Till date, the city has constructed around 170 km of dedicated bike lanes."
"19";"Bicycle Culture";"The city has employed numerous strategies to promote biking and bike safety. One of the most successful initiatives has been ‘Car-free Sunday’, which is shutting down the main avenue, Reforma on Sunday mornings to enable bicycling enthusiasts to use the road unhindered. Bike training sessions are held to familiarize prospective users to biking in the city. SEDEMA has also invested in Bicycling schools to train potential users to use bicycles in an urban setting. Night Bike rides are also organized."
"19";"Transit Access";"The Mexico City Bicycle Hub enables commuters to bike from home to the hub, park their bikes and take public transport into the city, and use an EcoBici for the last mile to work."
"19";"Outdoor Advertising Concession";"Procurement and operations have been contracted to Clear Channel Outdoor in exchange for advertising revenue. SEDEMA also covers a part of operating costs. When the system was initiated, Clear Channel was allocated 150 billboards across the city that it could run."
"19";"Public-Private Sponsorship (PPP)";"The system is publicly owned and managed by SEDEMA (public entity) and operated by Clear Channel Outdoor (Private, for-profit entity)."
"19";"City Climate-Action/Resilience Plan";"In 2008, Mexico City launched its Climate Action Program (CAP), a comprehensive inter-agency policy approach to address climate change and reduce the City’s greenhouse gas emissions over a five-year period. Implementing Non-Motorized Mobility Corridors (reducing 27,479 Tons of CO2 by constructing 300 km of bicycle paths), was one of the strategic actions. In 2014, the city launched PACCM 2013-2018, which incorporated EcoBici as part of actions to be taken towards implementation of schemes for intermodal mobility in strategic areas of the city."
"19";"Initiatives to promote Bicycling";"Strategies for Bicycling in Mexico City: Technical document prepared in collaboration with UNAM and Gehl Architects that allowed and sustained the public policy and actions geared towards increasing bicycle mode-share in the region. This document, and its rationale facilitated reforms in traffic regulations such as recognizing bicyclists’ right of way and dedicated bicycle lanes, penalties for vehicles driving on bicycle paths, etc. in 2010. It enabled SEDEMA to implement specific mobility initiatives under the Plan Verde, and the Mobility Secretariat to implement the Comprehensive Mobility Plan (PIM). It has also been instrumental in determining actions undertaken through the Mobility Act, and the General Urban Development Plan, among others."
"19";"Subscription/Membership Fees";"EcoBici has 24-hour and 72-hour passes for $4.5 and $9 respectively. A weekly pass costs $15, whereas an annual membership can be obtained by paying $20. Members can ride free-of-cost for the first 45 minutes, after which an incremental user charge is levied. These cover about 30% of the annual operating costs."
"19";"User Charges";"EcoBici has 24-hour and 72-hour passes for $4.5 and $9 respectively. A weekly pass costs $15, whereas an annual membership can be obtained by paying $20. Members can ride free-of-cost for the first 45 minutes, after which an incremental user charge is levied. These cover about 30% of the annual operating costs."
"19";"Fines for misuse of Service/Asset";"Checking a bike out for more than 24-hours invites a fine of $2500."
"19";"City Budget";"The initial capital cost of $5.75 million for implementing the system was funded by the city and came from its metropolitan fund (Fondo Metropolitano). Subsequent system extensions were also funded by the city."
"19";"Environmental Impact Fees";"SEDEMA offsets 70% of the system’s operating cost from its Environmental Fund. This fund comprises of fees collected from activities in the region such as construction works that have environmental impacts."
"19";"Advertising space on Billboards and Public Furniture";"Clear Channel has been granted advertising rights to run 150 outdoor advertising spaces in the city, for which they are required to pay a monthly rent of $40,000 to the City."
"20";"Sidewalks/Plazas";
"20";"Dedicated Bicycle Lanes";
"20";"Bicycles";"Initially a manually operated, 2nd Generation bike-share system, EnCicla is now a mix of manual and 3rd Generation, automated system comprising of 1500 bicycles and 52 stations at key transit and activity hubs in the city, of which 32 are automated. The city hopes to increase the number of stations to 100 by end of 2016 to meet the growing demand."
"20";"Road Safety";"The city has developed about 28 km of dedicated bike paths and hopes to expand this network to 400km by 2026."
"20";"Integration with Public Transit";"In 2015, EnCicla bikes could be checked out using the access cards used for the subway, cable car, and the BRT system operated by SITVA."
"20";"Transit Access";"13 of the 52 stations are integrated with other public transit stations in the city."
"20";"Affordability";"EnCicla usage is free-of-cost. Anybody above the age of 16 can register with a valid ID or a passport. The hire period lasts for an hour."
"20";"Request for Proposal (RFP)";"The government floated an RFP in 2015 to invite bids from private firms for system operation and expansion."
"20";"Procurement Contract";"Once the government took over operations, it signed contracts with different public agencies to provide a range of services such as staffing, rebalancing/redistribution vehicles, customer care, etc. to the system."
"20";"Public";"The system is owned and operated by the Metropolitan Area of the Valley of Aburra (Medellin Metropolitan Region) government."
"20";"Bicycle Plan";"Metropolitan Bicycle Master Plan"
"20";"City Development Plan";"PURA VIDA, the new Management Plan for the metropolitan region prioritizes mobility and lays special emphasis on cyclists and pedestrians."
"20";"Emissions Tax";"All capital and operating expenses for the system are funded by the Government of the Metropolitan Area of the Valley of Aburra using revenue from a tax on industrial emissions in the metropolitan area. The bike-share system was initiated using a public grant and an additional 5 billion pesos of public funds from the tax revenue were invested to expand the system in 2012. The monthly operation and maintenance costs of 600 million pesos are also publicly funded from the tax revenue."
"21";"Sidewalks/Plazas";
"21";"Space between landscaped areas and adjacent to other infrastructure";
"21";"On-street Parking Space";
"21";"Dedicated Bicycle Lanes";
"21";"Power Supply";"Solar panel-powered stations."
"21";"Bicycles";"4th Generation bike-share system comprising of 5,200 bikes across 460 stations. Bikes can be checked out using a code generated by a cell phone app that has to be entered into the docking station to release the bike. To deal with Montreal’s harsh weather, the bike stations are modular. The docks are powered by solar panels, and attached to a plate, that is bolted to the ground. The stations can be dismantled in20 minutes, and do not need trenches to be dug for power cables, etc. The stations are deployed only in the bicycling season between April and November, and dismantled and stored during winter."
"21";"Road Safety";"Montreal and the surrounding area has more than 350 km of dedicated bike-paths with bi-directional lanes in commercial and residential areas."
"21";"Integration with Public Transit";"Between August and November 2016, Bixi is piloting the use of Opus cards (Montreal transit cards) to check out bikes across 15 stations."
"21";"Bicycle Culture";"Bixi runs numerous initiatives such as ‘Free Bixi Sundays by Manulife’ and the ‘Bixi Sunday Photo Contest’ to promote the system. Additionally, the system partners with retailers for seasonal promotions. Currently, the system is offering users coupons for Subway sandwiches."
"21";"Transit Access";"Bixi stations are located outside all major transportation hubs in the city."
"21";"Redistribution/Rebalancing";"Bixi’s redistribution trucks are designed to include on-board computers that enable drivers to get real-time information on bicycle volumes at docking stations. This facilitates a speedier and more efficient response to bicycle shortages and station overcrowding."
"21";"Operating Concession";"The city of Montreal has contracted operations to Bixi Montreal, a city-created non-profit starting 2014. The contract is estimated at $4.3 million."
"21";"Public-Private Partnership (PPP)";"The system is owned by the City of Montreal and operated by Public Bixi Montreal, a non-profit created by the city."
"21";"Transportation Plan";"City of Montreal Transportation Plan: Launched in 2007 and subsequently updated in 2008, developing bicycling infrastructure in the city to promote use of bicycles was a key initiative outlined in the plan."
"21";"Membership/Subscription Fees";"As of 2016, Bixi offers short-term passes for 24 hours at $3.75 and 72 hours for CAD $10.5, enabling users to take unlimited 30-minute rides in the validity period.  Users can also pay $2.25 for 30-minute ride, individual rides.  Long-term passes are offered at $63 for the entire season (April to November), CAD $40 for half-season, and $22 for 30 days. Long-term passes entitle users to unlimited 45-minute rides free of charge. Beyond the initial 30 minutes for short-term members, and 45-minutes for long-term members, the first additional 30-minutes incurs a charge of $1.3, the next 30-minutes $2.6, and every additional 30-minutes beyond that will be charged $5.2. A deposit of $75 is deducted from the credit card during registration. The system also offers discounts to groups, and members of organizations such as the CAA."
"21";"User Charges";"As of 2016, Bixi offers short-term passes for 24 hours at $3.75 and 72 hours for CAD $10.5, enabling users to take unlimited 30-minute rides in the validity period.  Users can also pay $2.25 for 30-minute ride, individual rides.  Long-term passes are offered at $63 for the entire season (April to November), CAD $40 for half-season, and $22 for 30 days. Long-term passes entitle users to unlimited 45-minute rides free of charge. Beyond the initial 30 minutes for short-term members, and 45-minutes for long-term members, the first additional 30-minutes incurs a charge of $1.3, the next 30-minutes $2.6, and every additional 30-minutes beyond that will be charged $5.2. A deposit of $75 is deducted from the credit card during registration. The system also offers discounts to groups, and members of organizations such as the CAA."
"21";"Non-Exclusive Private Sponsorship";"Rio Tinto Alcan, was the title sponsor for the system, providing funding for the project as well as aluminum for manufacturing bikes. Other primary sponsors included TELUS, and Desjardins. The companies’ logo was displayed on the bikes. In 2016, Manulife Canada became Bixi’s presenting sponsor for a period of three years, enabling the system to improve service efficiency through a bicycle valet service and a cell phone app."
"21";"City Budget";"The city of Montreal subsidizes a part of the operating costs with a fixed annual payment."
"21";"Sale of Equipment";"In addition to user fees, a majority of Bixi’s revenue came from selling equipment to other cities in Canada and internationally prior to the restructuring in 2014."
"21";"Concessional Loan";"In 2011, the City of Montreal lent the system $ 27.5 million to cover operations deficit. In 2014, after buying assets, the city lent Bixi Montreal $460,000 in a short-term loan to start operations immediately."
"21";"Public Guarantee";"The city also gave a guarantee for a $53 million credit to enable Bixi to pay suppliers for international expansion."
"22";"Sidewalks/Plazas";
"22";"Space between landscaped areas and adjacent to other infrastructure";
"22";"Dedicated Bicycle Lanes";
"22";"Bicycles";"3rd Generation bike-share system comprising of over 3,500 bikes across 405 stations."
"22";"Road Safety";"DDOT and Arlington County have several initiatives such as GoDCGo, BikeArlington, and so on that provide users resources for biking safely in the region. The various jurisdictions have also developed a rich network of dedicated bicycle lanes, and periodically publish maps detailing bicycle routes and trails."
"22";"Branding";"Capital Bikeshare has emerged as a strong brand. Branded merchandise is available for purchase online."
"22";"Bicycle Culture";"The scheme has a Member Benefits program that entitles users to avail discounts and special offers at participating businesses. The scheme also organizes bicycle classes in DC and Arlington to enable prospective users to get acquainted with safe bicycling practices in an urban setting."
"22";"Transit Access";"The bike-share stations are located outside metro stations in the region, and also major bus stops and activity hubs."
"22";"Registration Alternatives";"The program enables users without bank accounts to register via Bank on DC, an initiative in the DC metro area for underbanked and unbanked individuals. Arlington County accepts cash payments from Arlington Residents for memberships and user fees, enabling people without bank accounts to access the system."
"22";"Affordability";"The scheme has a Community Partners Program that provides organizational memberships to local non-profits, government agencies, and social services organizations to enable them to offer low-income individuals, a steeply discounted annual membership. Bank on DC members gets $35 off an annual membership . Additionally, a limited amount of funding is available through the Montgomery County Low-Income Bikeshare Program (MCLiberty) to enable low-income individuals living or working in the county to use the program."
"22";"Scoping, Planning, and Project Design (including feasibility studies)";"The jurisdictions undertake the public process, to plan aspects of the system such as station location and siting."
"22";"Bike and Station assembly";"The local government does the siting, and builds the concrete pas for placing the station. The operator is paid to assemble the station and operate it. Siting is coordinated with the operator, since activities such as rebalancing need a safe parking space for the boom truck, away from impediments such as overhead high-tension cables."
"22";"Request for Proposal (RFP)";"DC DOT and Arlington County floated an RFP to invite bids for building and operating a metropolitan bike-share system."
"22";"Procurement Contract";"Separate contract with bike vendor PBSC Urban Solutions for bicycles, and 8D Technologies for station equipment."
"22";"Operating Concession";"Currently have a 5-year operating contract with Motivate, updated annually to account for changes in the Consumer Price Index (CPI). The current contract with Motivate covers per station costs for remote management of the station’s electronic access system, station balancing, station cleaning and maintenance, and bicycle maintenance. Additionally, the contract calculates call center costs by the number of bikes in the system and has fixed annual rates for administration, marketing, and website hosting. The average operating cost per dock is $144 per month for the current system. DDOT’s operating contract with the vendor is based largely on number of stations; smaller stations therefore will incur slightly higher operating costs per dock than the current system wide average . The operator collects revenue for each locality and distributes it after retaining a percentage per dock. User fees are distributed based on where the trip originated and not the destination."
"22";"Sponsorship Agreement";"The sponsors for Arlington County were chosen through an RFP process, choosing the highest bidder. County laws prohibit the sponsor logos from being displayed on the equipment."
"22";"Public-Private Partnership";"The system is owned by the four participating jurisdictions, and operated by Motivate. There is a revenue-sharing agreement between the regional partners."
"22";"Bicycle Plan";"There is an informal agreement between the County boards, City Councils, and other implementing agencies of the participating jurisdictions in the form of Governing Guidelines for the system."
"22";"Membership/Subscription Fees";"As of 2016, the scheme offers four short-term membership options. Single trips for $2, a 24-hour pass for $8, and a 3 day pass for $17. Users can also obtain a day key for an initial fee of $10 and a charge of $7 per day. Long-term memberships include a 30-day pass for $28 and an annual membership for $85. An annual membership with monthly installments costs $95. All user-passes enable riders to first 30-minutes free-of-charge followed by steeply incremental charges for every additional 30-minutes. The charges for day-key, 30-day, and annual members are slightly less than those for short-term users. The system also offers corporate memberships. As of 2015, user fees were covering 70% of the operating costs. The program is expected to cover 77% of its operating costs from user fees and advertising revenue in 2016."
"22";"User Charges";"As of 2016, the scheme offers four short-term membership options. Single trips for $2, a 24-hour pass for $8, and a 3 day pass for $17. Users can also obtain a day key for an initial fee of $10 and a charge of $7 per day. Long-term memberships include a 30-day pass for $28 and an annual membership for $85. An annual membership with monthly installments costs $95. All user-passes enable riders to first 30-minutes free-of-charge followed by steeply incremental charges for every additional 30-minutes. The charges for day-key, 30-day, and annual members are slightly less than those for short-term users. The system also offers corporate memberships. As of 2015, user fees were covering 70% of the operating costs. The program is expected to cover 77% of its operating costs from user fees and advertising revenue in 2016."
"22";"Advertising Revenue";"DC and Montgomery County allow advertising on bicycle stations, which earns them millions of dollars in revenue. Local laws prohibit Arlington County, and Alexandria from soliciting advertisements."
"22";"Public Grants";"DC’s share of planning, implementing, and first year operating costs was partially funded by a $6.4 million Congestion Mitigation and Air-Quality Improvement (CMAQ) grant from the Federal Highways Fund. Each region also contributes to the operating costs of the system. For example, Arlington County’s operating share of the plan was $835,000 for the first year, funded by public grants and subsidies from the Virginia Department of Rail and Public Transportation, Arlington County Transportation, the Crystal City Business Improvement District, and the Potomac Yard Transportation Management Association."
"22";"Donations";"DC’s share of planning, implementing, and first year operating costs was partially funded by a $6.4 million Congestion Mitigation and Air-Quality Improvement (CMAQ) grant from the Federal Highways Fund. Each region also contributes to the operating costs of the system. For example, Arlington County’s operating share of the plan was $835,000 for the first year, funded by public grants and subsidies from the Virginia Department of Rail and Public Transportation, Arlington County Transportation, the Crystal City Business Improvement District, and the Potomac Yard Transportation Management Association."
"22";"City Budget";"Arlington County has included Capital Bikeshare in their Capital Improvements Plan, which it uses to budget all infrastructure expenditures including buses, rail, etc. The operating costs are offset through the county funds (their Commuter Services Fund)."
"23";"Sidewalks/Plazas";
"23";"On-street Parking Space";
"23";"Space between landscaped areas and adjacent to other infrastructure";
"23";"Dedicated Bicycle Lanes";"The city has a robust network of dedicated bike lanes of over 1000km covering most neighborhoods."
"23";"Bicycles";"3rd Generation bike-share system comprising of 500 stations with 8000 bikes covering 50 neighborhoods, to be expanded to 10,000 bikes by end of 2016, and 12,000 bikes across 700 stations by end of 2017, providing extensive coverage to all the boroughs and Jersey City."
"23";"Road Safety";"The city has committed to facilitating safe biking practices by quadrupling the length of bike lanes in the city. NYC DOT gives out free bicycle helmets and safe riding guides during promotional events. This coupled with the design of the bicycle that limits riding speeds and improves visibility has resulted in zero Citi Bike fatalities since its launch."
"23";"Transit Access";"As an outcome of the extensive outreach carried out by NYC DOT to determine station locations, Citi Bike stations are located outside subway stops, major bus stops, and all transportation hubs within the coverage area."
"23";"Affordability";"The program offers discounted annual memberships at $60 to New York City Housing Authority (NYCHA) residents, Jersey City Housing Authority (JCHA) residents, and select Community Development Credit Union members."
"23";"Redistribution/Rebalancing";"To tackle rebalancing inefficiency due to heavy traffic conditions during the day, Citi Bike has optimized night-time rebalancing truck routes. A rebalancing pilot that employs bicycles with trailers carrying the bikes has also being tested to navigate the daytime traffic congestion."
"23";"Request for Proposal (RFP)";"NYC DOT floated an RFP to select an operator for a completely privately funded and owned bike-share system."
"23";"Procurement Contract";"The equipment is provided by PBSC Urban Solutions."
"23";"Concession Contract";"Motivate’s contract with NYC DOT is quite different from conventional concession contracts. Motivate owns the system, and bears all the operational risks. It is permitted to retain operating revenue up to a particular threshold, beyond which it needs to share it with the city. Fare setting is done by negotiating with the City. The City permits adjusting fares as per the CPI but also has a cap. Motivate has a separate contract with Jersey City and they coordinate with the Transportation Planning staff in the city. Motivate runs them as two different businesses even though they are part of the same metropolitan system."
"23";"Sponsorship Agreement";"Citi Bank is the title sponsor for the system, whereas Master Card is the preferred payment partner. While Citi Bank acquired naming rights to the system, logos of both companies are displayed on bikes, stations, keys, and other equipment. Citi has committed to sponsor the system until 2024."
"23";"Public-Private Partnership";"The system is privately owned and operated by Motivate, who has implemented it in collaboration with NYCDOT."
"23";"City Climate-Action/Resilience Plan";"PlaNYC: PlaNYC is an effort released by New York City Mayor Michael Bloomberg in 2007 (updated in 2011) to prepare the city for one million more residents, strengthen the economy, combat climate change, and enhance the quality of life for all New Yorkers. Make bicycling safer and more convenient by building bicycle infrastructure including a bike-share system was one of the initiatives outlined in the 2011 update to PlaNYC. The NYC Department of City Planning had also carried out a study called ‘Bike-Share Opportunities in NYC’ to facilitate implementation of a bike-share system in NYC."
"23";"Subscription/Membership Fees";"As of 2016, Citi Bikes offers three types of plans. Short term users can purchase a 24-hour pass for $12 or a 72-hour pass for $24 for unlimited 30-minute rides. Every additional 15 minutes are charged $4. Annual membership can be purchased at $14.95 a month or $155 one-time payment, for unlimited 45-minute rides. Longer rides incur $2.5 for the first additional 30 minutes, $6.50 for the next 30 minutes, and $9 for every additional 30 minutes. The program also offers corporate memberships, and discounted memberships to Citi Bank card holders. The operating costs are offset by user revenue. The system is financially sustainable. Areas such as Central Park with high foot-traffic, and large number of short-term users are instrumental in selling casual passes which generate substantial revenue and help offset operating costs in other neighborhoods."
"23";"User Charges";"As of 2016, Citi Bikes offers three types of plans. Short term users can purchase a 24-hour pass for $12 or a 72-hour pass for $24 for unlimited 30-minute rides. Every additional 15 minutes are charged $4. Annual membership can be purchased at $14.95 a month or $155 one-time payment, for unlimited 45-minute rides. Longer rides incur $2.5 for the first additional 30 minutes, $6.50 for the next 30 minutes, and $9 for every additional 30 minutes. The program also offers corporate memberships, and discounted memberships to Citi Bank card holders. The operating costs are offset by user revenue. The system is financially sustainable. Areas such as Central Park with high foot-traffic, and large number of short-term users are instrumental in selling casual passes which generate substantial revenue and help offset operating costs in other neighborhoods."
"23";"Non-Exclusive Private Sponsorship";"The system is completely funded by private sponsorships. Citi Bank is the core partner with a sponsorship of $41 million over 5 years starting 2013 and MasterCard the preferred payment partner with a contribution of $6.5 million. While Citi Bank acquired naming rights to the system, logos of both companies are displayed on bikes, stations, keys, and other equipment. Citibank has recently renewed its sponsorship through 2024 and committed to provide an additional $70.5 million to facilitate system expansion. The system has four founding sponsors in Jersey City, which are local businesses."
"23";"Donations";"The Partnership Fund for NYC has contributed $5 million to enable the system to expand into low-income neighborhoods of Upper Manhattan, Brooklyn, and Queens."
"23";"Commercial Loan";"Goldman Sachs Urban Investment Group invested in the system with an initial loan of $42 million to Motivate (then Alta Bicycle Share) at a 9% interest rate to be paid over five years. This money was used to buy the system equipment and cover initial startup costs . Goldman Sachs permitted an increase in credit facility by $15million in 2014 . (The loan was expected to be paid off from Citi’s contribution for naming rights)."
"23";"Direct Equity";"Bike Share Holdings LLC has invested $30 million in 2014 to facilitate expansion of the system. Bike Share Holdings LLC is a newly formed venture of individuals that include Harvey Spevak, CEO of Equinox®, Jeff Blau, CEO of Related Companies, and Jonathan Schulhof, a private investor. Bike Share LLC have entered into an agreement to acquire Alta, the original operator of the system to form ‘Motivate'."
"24";"Sidewalks/Plazas";
"24";"Dedicated Bicycle Lanes";"The city has developed a Bicycle Plan for the city and constructed over 100 miles of dedicated bike lanes."
"24";"Bicycles";"3rd Generation bike-share system comprising of 6000 bikes in 600 docking stations."
"24";"Road Safety";"CDOT promotes safe cycling through City of Chicago’s Safe Route Ambassadors and Bicycling Ambassadors, who visit schools, parks, local markets, community spaces, and events to educate users in safe bicycling practices . Under its Bicycle Plan, the City has constructed over 100 miles of dedicated bike lanes, thousands of bicycle racks, and bike shelters at transit stations across the city."
"24";"Branding";"Divvy organizes promotional events like bicycle data hackathons with giveaways, and also has branded merchandize for sale."
"24";"Bicycle Culture";"CDOT runs a ‘Learn to Ride’ program that offers 30 free bike riding classes that helps novices and veteran bike riders feel safe while biking on the city streets. Attendees also received a free helmet from BCBS."
"24";"Transit Access";"Bicycle-sharing stations are located outside all public transit stops and transportation nodes."
"24";"Affordability";"The program has corporate memberships, and student pricing. It also offers membership discounts to Blue Cross Blue Shield (BCBS) members, since BCBS became the exclusive system sponsor in 2014 . CDOT runs a program called ‘Divvy for Everyone’ (D4E) that enables citizens with financial hardships to use the system at subsidized rates."
"24";"Build-Operate Concession Contract";"The City of Chicago has signed a five-year concession contract with Motivate for $65 million until 2018. The contract states that the operator will be compensated for stipulated operation costs through revenue from membership fees and user charges. If the revenue fails to cover operation costs, the city will be responsible for 90% of the shortfall."
"24";"Sponsorship Agreement";"Blue Cross Blue Shield (BCBS) of Illinois has agreed to sponsor the program over five years in exchange for bikes, and rebalancing vans displaying the BCBS logo."
"24";"Public-Private Partnership (PPP)";"The system is owned by the Chicago Department of Transportation (CDOT), and is built, and operated by Motivate (previously Alta Bicycle Share)."
"24";"Bicycle Plan";"CDOT runs a multi-million dollar Bicycle program funded through Congestion Mitigation and Air-Quality Improvement (CMAQ) Program for creating bicycle infrastructure in the city. Under this program, the city has developed a Bike Plan for the city, which has enabled it to construct bicycle infrastructure."
"24";"Membership/Subscription Fees";"As of 2016, Divvy offers two types of memberships, an annual membership for $99 (can be paid through a monthly payment of $9.95 with an annual commitment) and a 24-hour pass for $9.95 both with unlimited rides of 30-minutes each. Annual members are charged $1.5 for exceeding 30 minutes up to 60 minutes, $4.5 for 60-90 minutes, and $6 for every additional 30 minutes beyond that. Daily pass holders are charged $2 for exceeding 30 minutes up to 60 minutes, $6 for 60-90 minutes, and $8 for every additional 30 minutes beyond that."
"24";"User Charges";"As of 2016, Divvy offers two types of memberships, an annual membership for $99 (can be paid through a monthly payment of $9.95 with an annual commitment) and a 24-hour pass for $9.95 both with unlimited rides of 30-minutes each. Annual members are charged $1.5 for exceeding 30 minutes up to 60 minutes, $4.5 for 60-90 minutes, and $6 for every additional 30 minutes beyond that. Daily pass holders are charged $2 for exceeding 30 minutes up to 60 minutes, $6 for 60-90 minutes, and $8 for every additional 30 minutes beyond that."
"24";"Tax Increment Financing (TIF)";"$6.25 million were raised for capital expenditures from the city’s Tax Increment Financing (TIF) program and General Obligation Bonds (details unknown)."
"24";"Exclusive Private Sponsorship";"In 2014, Divvy obtained a private sponsorship amounting to $12.5 million over five-years from Blue Cross Blue Shield (BCBS) of Illinois."
"24";"Public Grant";"The capital expenses for procurement, construction, and installation amounting to $31.25 million have been funded by a $25 million federal grant from the Federal Highway Association (FHWA)."
"25";"Sidewalks/Plazas";
"25";"On-street Parking Space";
"25";"Private Property";
"25";"Power Supply";"Stations powered by solar panels."
"25";"Dedicated Bicycle Lanes";"Dedicated bike lanes under the Boston Bike Network Plan."
"25";"Bicycles";"3rd Generation scheme with over 1600 Bikes and 160 Modular Docking Stations across the 4 municipalities supplied by PBSC Urban Solutions. 4-5 vehicles for rebalancing."
"25";"Road Safety";"Through the Boston Bike Network Plan, the participating cities have created a robust network of dedicated bike lanes in the region. Launched in 2013, the plan calls for 75 miles of new facilities by 2018, reaching a network of 356 miles within 30 years."
"25";"Bicycle Culture";"Hubway participates in numerous initiatives and events organized by various city agencies to promote biking as a safe and easily accessible transportation alternative in the region (For e.g. Hubway sets up a parklet during Cambridge PARKing Day)."
