"tmp_bme_id";"Name";"Category_bme_1";"Category_bme_2";"Category_bme_3";"Description";"Category_timing_1"
79;"Exclusive Private Sponsorship";"Funding source";"Investment proceeds";"Transfer/sale of public and private rights";"Some bike-share systems are funded with a sponsorship from a single private entity, in exchange for their logo on all the equipment and hardware, and often naming-rights (title-sponsor). The sponsorship agreement specifies that this entity is the exclusive sponsor and the system may not solicit additional sponsorship from other entities.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
80;"Non-exclusive Private Sponsorship";"Funding source";"Investment proceeds";"Transfer/sale of public and private rights";"Several bike-share systems are sponsored by several private entities, usually with one entity as the core (title) sponsor and others as supporting sponsors. The core sponsor contributes a substantial sum towards the system and has its logo prominently displayed on all the equipment, online platform, etc. It may also receive naming rights to the system.                                                                                                                                                                                   
The supporting sponsors contribute a relatively smaller amount and have their logos displayed on the bikes, kiosks, and online platforms as per the sponsorship agreement.
Sponsors may also choose to pay for specific components such as a fixed number of bikes, stations, system website, etc.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
81;"Lease of Space";"Funding source";"Investment proceeds";"Transfer/sale of public and private rights";"Some cities lease space to bike-share operators to install bicycle docking stations on city-owned property such as side-walks, transit-plazas, parks, etc. The operators typically pay an annual fee to the city.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
82;"Public Grant";"Funding source";"Investment incentives";"Grant funding";"Public grants are incentives that are provided to eligible recipients by a public authority/agency for the purpose of supporting desirable activities. They are funded from public budgets, which can include general taxation as well as other specific sources of public funds. Public grants may come through various federal, state and local initiatives and programs.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
83;"Private Grant";"Funding source";"Investment incentives";"Grant funding";"Private grants are incentives that are awarded to eligible recipients by a private entity for the purpose of supporting desirable activities. Private grants may come through private for-profit corporations, non-profit groups, or philanthropic institutions.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
84;"Donation";"Funding source";"Investment incentives";"Grant funding";"Donations are incentives that are provided to the system by private non-profit organizations, private for-profit corporations, or individuals to cover a portion of overall expenditure, or subsidize specific costs (setting up a station).";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
85;"Land Grant";"Funding source";"Investment incentives";"Grant funding";"Bike-share systems are often given space to set up the docking stations in the form of a land grant by private property-owners. This is especially significant when stations have to be located in private premises of business corporations, universities, etc.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
86;"City Budget";"Funding source";"Other budgets";"Intergovernmental transfers";"Some cities have covered the capital costs of installing a bike-share system through their budgets. Cities also subsidize operating costs by providing a fixed annual operating subsidy for bike-share systems.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
87;"Parking Fees and Fines";"Funding source";"Other budgets";"Taxation & fees";"Some cities use the revenue from their parking spaces and fines for parking in car-free zones/ exceeding permitted parking time to pay for the bike-share system. In certain cases, fees recovered from parking spaces in specific zones are mandated to be utilized to pay for the operations of the city’s bike-share system.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading"
88;"Emissions Tax";"Funding source";"Other budgets";"Taxation & fees";"Some cities impose an emissions tax on industries, automobile manufacturers, and other polluting enterprises. The revenue earned through this type of taxation is used for covering capital and operating costs.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
89;"Environmental Impact Fees";"Funding source";"Other budgets";"Taxation & fees";"Activities such as construction, and other works that generate environmental impacts have to pay an ‘environmental impact fee’ in some cities. Revenue obtained from these fees is used to fund operations of bike-share systems.";"Operating, Maintaining & upgrading"
90;"Advertising space on Billboards and Public Furniture";"Funding source";"Other budgets";"(Public or private sector) Non-operating revenues";"Several cities have funded bike-share systems by leasing advertising space on public furniture such as bus shelters, signage and kiosks, benches, etc. to outdoor advertising agencies such as JC Decaux and Clear Channel. These agencies have also been engaged to operate Bike-share Systems in exchange for rights to solicit advertisements on a specific number of city-owned billboards.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
91;"Building Materials";"Investment component";"Tangible asset";"Infrastructure";"These are materials such as stone, concrete, bricks, ceramics, steel and other metals, glass, paints and varnishes, and so on used for all elements of buildings including structural elements, roofs, walls, floors, and their finishes.";
92;"Building Envelope (including windows)";"Investment component";"Tangible asset";"Infrastructure";"A building envelope is the physical separator between the interior (conditioned environment) and exterior (unconditioned environment) of a building. Its components include walls, floors, roofs, fenestrations, and doors.";
93;"Structural and Interior Elements";"Investment component";"Tangible asset";"Infrastructure";"These refer to the core elements of a building such as foundations, retaining walls, beams, columns, interior partition walls, and stairs.";
94;"Heating, Ventilation, and Air-Conditioning (HVAC) Systems";"Investment component";"Tangible asset";"Special equipment";"Heating, Ventilation, and Air-Conditing (HVAC) Systems are instrumental in heating, ventilating, and cooling buildings to regulate their indoor environment, and maintain acceptable or mandated indoor air quality.";
95;"Water Heating Systems";"Investment component";"Tangible asset";"Special equipment";"Water heating systems ususally comprise of a centrally-located boiler that heats water to be supplied to the entire building through plumbing fixtures. They are typically powered by natural gas, propane, fuel-oil, or electricity, and are very energy intensive.";
96;"Lifts & Escalators";"Investment component";"Tangible asset";"Special equipment";"Lifts and escalators are mechanized conveyance (vertical transportation) systems in buildings that transport people from one level to the other.";
97;"Lighting";"Investment component";"Tangible asset";"Special equipment";"Lighting comprises of all the equipment in a building that is used for producing light. Arrangement of artifical light sources such as lamps, as well as design strategies (fenestrations, glazing, etc.) to capture daylight are integral components of lighting in buildings.";
98;"Plumbing Fixtures and Fittings";"Investment component";"Tangible asset";"Special equipment";"Plumbing fixtures are devices such toilets, sinks, bathtubs, shower receptors, and water closet bowls that receive water and/or waste water and direct it into a sanitary drainage system. Plumbing fittings are devices fixed to a building’s plumbing system to distribute, control, and guide the flow of water. Fittings include faucets, shower heads, shutoff valves, shower valves, etc.";
99;"Power Fixtures";"Investment component";"Tangible asset";"Special equipment";"Power fixtures are devices fixed to a building’s electricity distribution system to distribute, control, and guide the flow of electricity. These include circuit boards and circuit breakers, sockets, switches, etc.";
100;"Renewable Energy Equipment";"Investment component";"Tangible asset";"Special equipment";"Renewable energy equipment comprises of equipment and technology powered by renewable energy sources such as sunlight, wind, and geothermal energy that can substitute building equipment running on conventional energy sources. Examples include solar water heaters, solar photovoltaic panels to power all or part of of the building, geothermal heating systems, and so on.";
101;"Water Management Systems";"Investment component";"Tangible asset";"Special equipment";"Water management systems are comprise of equipment and strategies that enable buildings to monitor and manage the consumption of water. It comprises of techniques such as wastewater treatment, greywater recycling, rainwater harvesting, water-conserving plumbing fittings & fixtures, efficienct coolong towers, and so on.";
102;"Waste Management Systems";"Investment component";"Tangible asset";"Special equipment";"Waste management systems comprise of equipment and strategies to manage, transport, and safely dispose off waste generated by buildings right from the construction phase to the operations and maintenance phase. Strategies include waste sorting, recycling, composting, diverting, etc.";
103;"Refrigeration Systems";"Investment component";"Tangible asset";"Special equipment";"Refrigerations systems comprise of equipment such as refrigerators, freezers, and industrial freezers that are used for preserving perishables for a short-term or over a longer-term.";
104;"Sustainable Landscaping (including Green Roofs)";"Investment component";"Tangible asset";"Special equipment";"Sustainable landscapes are responsive to the environment, re-generative, and can actively contribute to the development of healthy communities. Sustainable landscapes sequester carbon, clean the air and water, increase energy efficiency, restore habitats, and create value through significant economic, social and, environmental benefits.";
105;"Miscellaneous Equipment";"Investment component";"Tangible asset";"Special equipment";"This comprises of any type of equipment integral to a building, that is not covered under other components or systems.";
106;"Pollution Safeguards";"Investment component";"Intangible Asset";"Safety & health";"These are initiatives and strategies to mitigate pollution (carbon emissions, particulate pollutants, noise, etc.) caused by construction activites, and day-to-day building operations. This also includes use of safe, non-polluting materials in buildings, which is free of toxic and hazardous substances.";
107;"Cost-saving";"Investment component";"Intangible Asset";"Resource efficiency";"Substituting equipment running on conventional energy sources/resources with energy efficient equipment, or equipment running on renewable energy sources results in significant reduction in consumption of resources such as power, water, and fossil fuels. This translates into lower energy-bills, and substantial cost-savings over the lifetime of a building.";
108;"Certification";"Investment component";"Intangible Asset";"Reputation & brand";"Procurement policies and sustainability initiatives of several public agencies and private entities require them to buy, retrofit, or lease premises that is green building certified. Hence, getting a building certified through LEED, BEAM, or other certifiers makes the building attractive to potential buyers and lessees.";
109;"Public Campaigns and Awareness Programs";"Investment component";"Intangible Asset";"Human capital & culture";"Cities undertake and sponsor numerous initiatives such as workshops, training, seminars, etc. to promote the use of energy efficient design & construction practices. Cities also engage in awareness, training, and capacity building initiatives for the construction industry to expose them to latest practices and technology in energy efficient building construction.";
110;"Integrated design including passive design";"Investment component";"Process";"Planning & preparation";"Integrated building design is a strategy to design sustainable buildings that respond to the environment they are situated in by integrating physical design (including passive design) with Mechanical, Electrical, and Plumbing (MEP) services such as HVAC systems, lighting, etc. It brings together architects, structural engineers, MEP consultants, and interior designers to work as a consolidated team of building designers.";
111;"Development Review and Permitting";"Investment component";"Process";"Planning & preparation";"All building proposals need to be approved by a local government agency (usually a dedicated Building Proposals Department), and granted a certificate to commence construction. Legislation in various cities stipulates green building standards and requirements that buildings need to meet, environmental impact assessments (EIA) that they need to carry out and submit, and also go through a development review process to obtain a commencement certificate. Through the various construction phases and upon completion of construction, the permitting agency will inspect the development, and issue permits such as an occupation certificate.";
112;"Construction Waste Management + Pollution Reduction";"Investment component";"Process";"Building & installing";"These are initiatives and strategies to mitigate pollution (carbon emissions, particulate pollutants, noise, etc.) caused by construction activites, and day-to-day building operations. This also includes use of safe, non-polluting materials in buildings, which is free of toxic and hazardous substances.";
113;"Building Certification";"Investment component";"Process";"Operating, maintaining & upgrading";"This is the process of getting a building certified from a certifying agency such as LEED by fulfilling stipulated requirements, and complying with requisite standards.";
114;"Energy Performance Auditing";"Investment component";"Process";"Operating, maintaining & upgrading";"This is the process of monitoring and measuring the energy consumption of all MEP systems, and applicances in a building to determine overall energy performance. Cities have certified auditors who are qualified to carry out energy audits.";
115;"National Government";"Delivery mechanism";"Legal entity";"Public";"National-level agencies such as ministries for environment, power, and energy in several countries have been instrumental in developing and passing legislation for energy efficiency such as energy and building codes, and enforcing it with the help of specially-instituted agencies, counterparts in the state governments, and local governments.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
116;"Local Government";"Delivery mechanism";"Legal entity";"Public";"In addition to national directives and ordinances, several cities have developed local legislation, and standards to promote energy efficiency. Agencies within the City Government such as Departments of Environment, Sustainability, City Planning, Building Permits, etc. work in tandem to enforce these policies.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
117;"Building/Energy Efficiency or Environmental Plans/Initiatives";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"Cities often promote building efficiency and green buildings as a strategy for energy efficient, sustainable development through dedicated building efficiency plans or as part of broader energy efficiency initiatives. National environemtal legislation in several countries also targets building efficiency as an action area since energy consumption in buildings is a substantial component of overall energy consumption in cities.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
118;"Long-term City Vision Plan";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"Numerous cities develop long-term plans for a period ranging from 5 to 20 years into the future, by outlining development goals for different aspects such as mobility, basic services, environment, etc.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
119;"City Development Plan";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"In recent years, several cities have revised their existing development/land use plans to make provisions to promote energy efficiency and green growth. Buidling efficiency is often integrated as a sustainable development component in new development/ land use plans of several cities.";"Planning & preparation"
120;"Climate-Change Mitigation Plans or Carbon Reduction Goals";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"In recent years, numerous cities have mandated plans to reduce air pollution through GHG emissions, over-all carbon footprint, and dependence on fossil fuels. Alternatively, cities could also have climate-change mitigation plans or ordinances for urban sustainability and resilience. Bicycle sharing schemes are undertaken under the provisions of such plans.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
121;"Pilot Programs";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"Pilot programs are small-scale, short-term experimental projects/programs that help an implementing agency to assess the efficacy and feasibility of a new approach and determine how a scaled-up version of the project might work in practice.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
122;"District Energy";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"District energy systems produce steam, hot water or chilled water at a central plant. The steam, hot water or chilled water is then piped underground to individual buildings for space heating, domestic hot water heating and air conditioning. As a result, individual buildings served by a district energy system don't need their own boilers or furnaces, chillers or air conditioners. The district energy system does that work for them, providing valuable benefits including: Improved energy efficiency, enhanced environmental protection, fuel flexibility, ease of operation and maintenance, reliability, comfort and convenience for customers, decreased life-cycle costs, decreased building capital costs, and Improved architectural design flexibility.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
123;"Solar Schemes";"Delivery mechanism";"Institutional framework";"Targeted programs/ schemes/plans";"Numerous countries and cities across the world have developed schemes to promote the use of solar technology as a renewable energy source. Initiatives include subsidies and incentives for installing roof-top solar (photovoltaic cells), and solar water heaters to reduce conventional energy consumption.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
124;"Green Building Certification/Rating Policy or Requirement";"Delivery mechanism";"Institutional framework";"Regulations & requirements";"Some cities have amended their building or zoning codes to require buildings to be green building certified, have an energy efficiency rating or compliant with stipulated energy efficiency standards.";"Operating, Maintaining & upgrading; Planning & preparation"
125;"Development Review/Permitting Regulations";"Delivery mechanism";"Institutional framework";"Regulations & requirements";"These are regulations in the zoning code of a city that require proposed buildings to comply with specific standards and requirements to be granted a cnstruction permit, and subsequent permits till completion of works. Some cities require specific types of new developments to undergo a development review, where the proposal is assessed by a review committee for compliance with zoning guidelines, and overall impact on the urban environment. This can be discretionary or non-discretionary.";"Operating, Maintaining & upgrading; Planning & preparation"
126;"Energy Performance/Sustainability Certificate or Standards";"Delivery mechanism";"Institutional framework";"Regulations & requirements";"These are regulations that require equipment, materials, and appliances in buildings to meet specific energy efficiency or sustainability standards and/or be energy certified.";"Operating, Maintaining & upgrading; Planning & preparation"
127;"Regulations for Construction Activities";"Delivery mechanism";"Institutional framework";"Regulations & requirements";"Cities have stringent regulations in place to prevent nuisance arising from construction activites. These include restrictions on noise levels, emission of carbon, particulate matter, and other pollutants, discharge of waste into water bodies, and use of hazardous substances. Developers and contractors also need to have management plans for water & power and construction waste in place.";"Manufacturing, Building & installing; Planning & preparation"
128;"Regulations for Energy Certification and Declaration";"Delivery mechanism";"Institutional framework";"Regulations & requirements";"Some cities require new buildings, and old buildings to undergo an energy audit and acquire an energy performance or sustainability certificate, which they need to display prominently and report to city agencies.";"Operating, Maintaining & upgrading; Planning & preparation"
129;"Green Building/Energy Efficiency Act";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"Some countries have passed a national act mandating energy efficiency in various sectors, including buildings. Some countries have passed green building specific acts. This legislation has enabled countires to develop green building codes and energy codes, that are then enforced at the local level.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
130;"Energy Efficiency Ordinance/Directive/Decree (Includes Declaration and Reporting)";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"Several cities have made building efficiency mandatory by passing an ordinance, directive, or a decree. This legislation if often accompanied by an amendment to the zoning codes, and building and energy codes. Some ordinances require property owners to conduct energy audits and acquire energy performace certificates, which have to be prominently displayed. Others require buildings to report their annual energy consumption, which is benchmarked against buildings of the same age, size, and type.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
131;"Energy, Environment, and Climate Acts";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"National-level energy and/or environment ministries in several countries have passed legislation to mitigate climate-change, protect the environment, and promote energy efficiency in energy intensive sectors. Green building legislation and initiatives at the city-level is often derived from or supported by these national acts.";"Operating, Maintaining & upgrading; Planning & preparation"
132;"Building Codes/Energy Codes (including Construction)";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"Building codes are sets of regulations governing the design, construction, alteration and maintenance of structures. They specify the minimum requirements to adequately safeguard the health, safety and welfare of building occupants .They also stipulate guidelines for undertaking construction works. Energy codes and standards set minimum efficiency requirements for new and renovated buildings, assuring reductions in energy use and emissions over the life of the building. Energy codes are a subset of building codes, which establish baseline requirements and govern building construction. Code buildings are more comfortable and cost-effective to operate, assuring energy, economic and environmental benefits. The reduction in energy expenditures also correlates to a mitigated dependency on foreign oil, impacting national security. In light of these fundamental environmental issues, economic challenges, and uncertain energy costs, building energy codes are a key component of sound public policy . Building and energy codes are often developed by national agencies, and adopted by city governments through ordinances, energy efficiency plans.";"Operating, Maintaining & upgrading; Planning & preparation"
133;"Zoning Codes";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"Zoning is the way the governments control the physical development of land and the kinds of uses to which each individual property may be put. Zoning laws typically specify the areas in which residential, industrial, recreational or commercial activities may take place. Besides restricting the uses that can be made of land and buildings, zoning laws also may regulate the dimensional requirements for lots and for buildings on property located within the town, including the density of development . Cities like Boston have amended their zoning code to require buildings above a certain built-up area to be green building certified. Zoning codes may also require certain types of buildings to require a development review before qualifying for a construction permit.";"Planning & preparation"
134;"Infrastructure Codes";"Delivery mechanism";"Institutional framework";"Enabling acts/legislation";"Some cities have developed efficiency codes for urban infrastructure such as Stormwater draining to promote resource conservation, and sustainable use of waste water.";"Operating, Maintaining & upgrading; Planning & preparation"
135;"Concessional Loan";"Financial product";"Debt";"Loans";"Concessional loans are provided by a financier at flexible lending conditions like lower than market-rate interest rates and/or longer repayment schedules. Concessional loans can be general, subordinated, or syndicated loans.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
136;"Multilateral Loan";"Financial product";"Debt";"Loans";"Multilateral loans are loans provided by a multilateral development gancy such as the World Bank, regional development banks, UNDP, global environment Facility (GEF), etc. at flexible lending conditions like lower than market-rate interest rates and/or longer repayment schedules, available to finance specific types of projects and initiatives.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
137;"Co-financing";"Financial product";"Supporting";"Funds & facilities";"Co-financing is a financing type where a project si financed by tow or more financiers or lending agencies. It is often used in multilateral-donor funded projects in developing countries.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
138;"Public Grant";"Funding source";"Investment incentives";"Grant funding";"Public grants are incentives that are provided to eligible recipients by a public authority/agency for the purpose of supporting desirable activities. They are funded from public budgets, which can include general taxation as well as other specific sources of public funds. Public grants may come through various federal, state and local initiatives and programs.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
139;"Multilateral Grant";"Funding source";"Investment incentives";"Grant funding";"These are grants provided by multilateral donors and lending agencies such as the World Bank, Asian Development Bank (ADB), United Nations Development Program (UNDP), and so on. These grants are administered and disbursed at the national-level, typically through the finance ministry. They are often available for specific initiatives and projects.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
140;"Donation";"Funding source";"Investment incentives";"Grant funding";"Donations are incentives that are provided by private non-profit organizations, private for-profit  corporations, or individuals to cover a portion of overall expenditure, or subsidize specific costs (setting up a station).";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
141;"Vertical Funds";"Funding source";"Investment incentives";"Grant funding";"“Vertical Funds” are development financing mechanisms confined to single development domains with mixed funding sources. An example is the Global Environment Facility (GEF); established in 1991 under World Bank management, it had the UN Development Programme (UNDP) and the UN Environment Programme (UNEP) as original implementing partners.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
142;"Reduced Permitting Fees";"Funding source";"Investment incentives";"Grant funding";"Certain cities incentivize green buildings by reducing permitting fees for buildings that are green building certified. Implemented at the development approvals stage, this enables developers to reduce development costs.";"Planning & preparation"
143;"Utility Rebates";"Funding source";"Investment incentives";"Grant funding";"Utilities in some cities provide rebates supporting energy conservation in new construction and existing buildings. Seattle Public Utilities has rebates for potable water reductions and for rainwater collection, as well as reduced fees for storm water reduction systems.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading"
144;"Expedited Permitting";"Funding source";"Investment incentives";"In-kind incentives";"Some cities incentivize green buildings by expediting the permitting process for buildings that are green building certified. Implemented at the development approvals stage, this enables developers to get faster approvals, and commence work sooner than conventional developments.";"Planning & preparation"
145;"Floor Area (FAR) Bonus";"Funding source";"Investment incentives";"In-kind incentives";"A floor-to-area ratio (FAR) bonus is an allowed increase in the amount of buildable space relative to the area of the land upon which the building is sited . Some cities reduce FAR restrictions, or grant extra FAR to buildings that are green building certified.";"Planning & preparation"
146;"Plot Coverage Incentive";"Funding source";"Investment incentives";"In-kind incentives";"The Zoning Code in most cities specifies a plot-coverage ratio (Ratio of building footprint to open space in a plot). Some cities relax the required ratio to permit more plot coverage for buildings that are green building certified.";"Planning & preparation"
147;"Technical Assistance and Capacity Building";"Funding source";"Investment incentives";"In-kind incentives";"Some cities have undertaken initiatives and programs to provide technical assistance and build capacity in energy efficient technology and development, which are targeted towards the construction industry. These have been instrumental in city-wide adoption of green building technologies and design techniques.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
148;"Green Building Credits";"Funding source";"Investment incentives";"In-kind incentives";"Some cities assign green building credits to developments that comply with certain regulations, or adopt specified green building technology or strategies. These credits are structures such that the developers/owners can use them towards obtaining a green building certification from LEED or BEAM.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
149;"Land Use Departures";"Funding source";"Investment incentives";"In-kind incentives";"Land use departures are permissions to propose a land use on a site other than that specified in the Zoning Code. Some cities permit land use departures for green building proposals.";"Manufacturing, Building & installing; Operating, Maintaining & upgrading; Planning & preparation"
